NAME|BORN|COUNTRY|TEST_COUNT|ODI_COUNT|T20_COUNT
Aamer Yamin|26/06/1990|Pakistan|0|4|2
Aamir Kaleem|20/11/1981|Oman|0|0|13
Aarif Sheikh|05/10/1997|Nepal|0|6|1
Abbas Saad|01/06/1986|Saudi Arabia|0|0|2
Abbott, K J|18/06/1987|South Africa|11|28|21
Abdul Shakoor|15/03/1985|United Arab Emirates|0|3|4
Abdul Wahid|01/01/1986|Saudi Arabia|0|0|5
Abdur Razzak|15/06/1982|Bangladesh|13|153|34
Abu Hider|14/02/1996|Bangladesh|0|2|13
Abu Jayed|02/08/1993|Bangladesh|5|0|3
Abul Hasan|05/08/1992|Bangladesh|3|7|5
Adil Hanif|25/02/1978|Bahrain|0|0|4
Adnan Mufti|30/12/1984|United Arab Emirates|0|18|1
Afif Hossain|22/09/1999|Bangladesh|0|0|1
Afsar Zazai|10/08/1993|Afghanistan|1|17|1
Aftab Alam|30/11/1992|Afghanistan|0|21|12
Agar, A C|14/10/1993|Australia|4|9|15
Agarwal, M A|16/02/1991|India|2|0|0
Ahmed, K K||India|0|8|9
Ahmed Hassan|01/07/1989|Maldives|0|0|4
Ahmed Raza|10/10/1988|United Arab Emirates|0|25|22
Ahmed Shehzad|23/11/1991|Pakistan|13|81|57
Ahsan Malik|29/08/1989|Netherlands|0|12|31
Airee, D S|24/01/2000|Nepal|0|6|4
Aizaz Khan|21/03/1993|Hong Kong|0|19|23
Al-Amin Hossain|01/01/1990|Bangladesh|6|14|25
Ali, M M||England|58|92|25
Allen, F A|07/05/1995|West Indies|0|4|9
Ambris, S W|23/03/1993|West Indies|6|1|0
Ameel Mauroof|18/08/1992|Maldives|0|0|4
Amini, C J A|14/04/1992|Papua New Guinea|0|6|6
Amir Hamza|15/08/1991|Afghanistan|0|31|31
Amir Hayat|01/01/1998|United Arab Emirates|0|9|4
Amjad Gul|01/01/1990|United Arab Emirates|0|0|4
Amjad Javed|05/07/1980|United Arab Emirates|0|15|22
Amla, H M|31/03/1983|South Africa|124|174|44
Ammad Uddin|23/04/1976|Bahrain|0|0|4
Anamul Haque|16/12/1992|Bangladesh|4|37|13
Anasim Khan|12/03/1979|Bahrain|0|0|4
Anderson, C J|13/12/1990|New Zealand|13|49|31
Anderson, J|06/10/1982|Ireland|0|8|4
Anderson, J M|30/07/1982|England|148|194|19
Ansari, Z S|10/12/1991|England|3|1|0
Anshuman Rath|05/11/1997|Hong Kong|0|18|20
Aponso, M A|23/06/1993|Sri Lanka|0|9|3
Aqib Ilyas|05/09/1992|Oman|0|0|9
Arafat Sunny|29/09/1986|Bangladesh|0|16|10
Ariful Haque|18/11/1992|Bangladesh|2|1|9
