DATE|TEAM.1|TEAM.2|IS_HOST.1|IS_HOST.2|Y
1971-01-05|Australia|England|True|False|True
1975-01-01|Australia|England|True|False|False
1979-01-24|Australia|England|True|False|False
1979-02-04|Australia|England|True|False|True
1979-02-07|Australia|England|True|False|True
1979-12-08|Australia|England|True|False|False
1979-12-09|Australia|West Indies|True|False|False
1980-01-12|England|West Indies|False|False|False
1980-01-20|England|West Indies|False|False|False
1980-12-06|Australia|India|True|False|False
1980-12-07|Australia|New Zealand|True|False|True
1981-01-10|India|New Zealand|False|False|False
1981-01-11|Australia|India|True|False|True
1981-01-31|Australia|New Zealand|True|False|True
1981-02-01|Australia|New Zealand|True|False|True
1981-11-21|Pakistan|West Indies|False|False|False
1981-11-22|Australia|Pakistan|True|False|False
1982-01-09|Australia|Pakistan|True|False|False
1982-01-10|Australia|West Indies|True|False|False
1982-01-23|Australia|West Indies|True|False|False
1982-01-24|Australia|West Indies|True|False|False
1983-01-09|Australia|New Zealand|True|False|True
1983-01-13|England|New Zealand|False|False|False
1983-01-22|Australia|New Zealand|True|False|False
1983-01-23|Australia|England|True|False|True
1983-02-13|Australia|New Zealand|True|False|True
1984-01-08|Australia|West Indies|True|False|False
1984-01-12|Pakistan|West Indies|False|False|True
1984-01-21|Australia|Pakistan|True|False|True
1984-01-22|Australia|West Indies|True|False|False
1984-02-11|Australia|West Indies|True|False|False
1984-02-12|Australia|West Indies|True|False|False
1985-01-06|Australia|West Indies|True|False|False
1985-01-19|Australia|Sri Lanka|True|False|False
1985-01-20|Australia|West Indies|True|False|False
1985-02-10|Australia|West Indies|True|False|False
1985-02-17|Australia|England|True|False|True
1985-02-20|India|Pakistan|False|False|True
1985-02-23|New Zealand|Sri Lanka|False|False|True
1985-02-24|Australia|Pakistan|True|False|False
1985-02-27|Sri Lanka|West Indies|False|False|False
1985-03-02|England|Pakistan|False|False|False
1985-03-03|Australia|India|True|False|False
1985-03-06|Pakistan|West Indies|False|False|True
1985-03-10|India|Pakistan|False|False|True
1986-01-09|Australia|New Zealand|True|False|False
1986-01-16|Australia|India|True|False|False
1986-01-23|India|New Zealand|False|False|False
1986-01-31|Australia|India|True|False|False
1986-02-09|Australia|India|True|False|True
1987-01-20|Australia|West Indies|True|False|False
1987-01-30|England|West Indies|False|False|False
1987-02-01|Australia|England|True|False|True
1987-02-08|Australia|England|True|False|False
1988-01-07|Australia|New Zealand|True|False|True
1988-01-14|Australia|Sri Lanka|True|False|True
1988-01-22|Australia|New Zealand|True|False|True
1988-02-04|Australia|England|True|False|True
1988-12-15|Australia|West Indies|True|False|False
1989-01-05|Australia|West Indies|True|False|True
1989-01-10|Australia|Pakistan|True|False|True
1989-01-14|Australia|West Indies|True|False|True
1989-12-26|Australia|Sri Lanka|True|False|True
1990-01-03|Australia|Pakistan|True|False|True
1990-01-04|Australia|Sri Lanka|True|False|True
1990-02-23|Australia|Pakistan|True|False|True
1990-12-11|Australia|New Zealand|True|False|True
1991-01-10|Australia|England|True|False|True
1991-01-15|Australia|New Zealand|True|False|True
1991-12-12|Australia|West Indies|True|False|True
1992-01-09|Australia|West Indies|True|False|False
1992-01-16|India|West Indies|False|False|True
1992-01-18|Australia|India|True|False|True
1992-02-23|Pakistan|West Indies|False|False|False
1992-02-27|England|West Indies|False|False|True
1992-03-12|England|South Africa|False|False|True
1992-03-18|Australia|West Indies|True|False|True
1992-03-25|England|Pakistan|False|False|False
1992-12-15|Australia|West Indies|True|False|True
1993-01-12|Australia|Pakistan|True|False|True
1993-01-18|Australia|West Indies|True|False|False
1993-12-09|Australia|South Africa|True|False|False
1993-12-16|Australia|New Zealand|True|False|True
1994-01-19|Australia|New Zealand|True|False|True
1994-01-21|Australia|South Africa|True|False|False
1995-01-10|Australia|England|True|False|False
1995-12-19|Australia|West Indies|True|False|True
1996-01-09|Australia|Sri Lanka|True|False|False
1996-01-16|Australia|Sri Lanka|True|False|False
1996-01-18|Australia|Sri Lanka|True|False|True
1996-12-06|Australia|West Indies|True|False|True
1997-01-16|Australia|Pakistan|True|False|True
1997-01-20|Pakistan|West Indies|False|False|True
1997-12-09|Australia|South Africa|True|False|False
1997-12-17|Australia|New Zealand|True|False|True
1998-01-21|Australia|New Zealand|True|False|False
1998-01-23|Australia|South Africa|True|False|False
1999-01-15|Australia|England|True|False|True
1999-01-19|England|Sri Lanka|False|False|True
